"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Japan",35.6762,139.6503,2020-01-22,2,"confirmed"
"","South Korea",37.5665,126.978,2020-01-22,1,"confirmed"
"","Thailand",13.7563,100.5018,2020-01-22,2,"confirmed"
"Anhui","Mainland China",31.82571,117.2264,2020-01-22,1,"confirmed"
"Beijing","Mainland China",40.18238,116.4142,2020-01-22,14,"confirmed"
"Chongqing","Mainland China",30.05718,107.874,2020-01-22,6,"confirmed"
"Fujian","Mainland China",26.07783,117.9895,2020-01-22,1,"confirmed"
"Guangdong","Mainland China",23.33841,113.422,2020-01-22,26,"confirmed"
"Guangxi","Mainland China",23.82908,108.7881,2020-01-22,2,"confirmed"
"Guizhou","Mainland China",26.81536,106.8748,2020-01-22,1,"confirmed"
"Hainan","Mainland China",19.19673,109.7455,2020-01-22,4,"confirmed"
"Hebei","Mainland China",38.0428,114.5149,2020-01-22,1,"confirmed"
"Henan","Mainland China",33.88202,113.614,2020-01-22,5,"confirmed"
"Hubei","Mainland China",30.97564,112.2707,2020-01-22,444,"confirmed"
"Hunan","Mainland China",27.61041,111.7088,2020-01-22,4,"confirmed"
"Jiangsu","Mainland China",32.97027,119.464,2020-01-22,1,"confirmed"
"Jiangxi","Mainland China",27.61401,115.7221,2020-01-22,2,"confirmed"
"Liaoning","Mainland China",41.29284,122.6086,2020-01-22,2,"confirmed"
"Macau","Macau",22.1987,113.5439,2020-01-22,1,"confirmed"
"Ningxia","Mainland China",37.26923,106.1655,2020-01-22,1,"confirmed"
"Seattle, WA","US",47.7511,-120.74,2020-01-22,1,"confirmed"
"Shandong","Mainland China",36.34377,118.1529,2020-01-22,2,"confirmed"
"Shanghai","Mainland China",31.20327,121.4554,2020-01-22,9,"confirmed"
"Shanxi","Mainland China",37.57769,112.2922,2020-01-22,1,"confirmed"
"Sichuan","Mainland China",30.61714,102.7103,2020-01-22,5,"confirmed"
"Taiwan","Taiwan",23.6978,120.9605,2020-01-22,1,"confirmed"
"Tianjin","Mainland China",39.29362,117.333,2020-01-22,4,"confirmed"
"Yunnan","Mainland China",24.97411,101.4868,2020-01-22,1,"confirmed"
"Zhejiang","Mainland China",29.18251,120.0985,2020-01-22,10,"confirmed"
"Hubei","Mainland China",30.97564,112.2707,2020-01-22,17,"death"
"Hubei","Mainland China",30.97564,112.2707,2020-01-22,28,"recovered"
"","Japan",35.6762,139.6503,2020-01-23,-1,"confirmed"
"","Singapore",1.3521,103.8198,2020-01-23,1,"confirmed"
"","Thailand",13.7563,100.5018,2020-01-23,1,"confirmed"
"","Vietnam",21.0278,105.8342,2020-01-23,2,"confirmed"
"Anhui","Mainland China",31.82571,117.2264,2020-01-23,8,"confirmed"
"Beijing","Mainland China",40.18238,116.4142,2020-01-23,8,"confirmed"
"Chongqing","Mainland China",30.05718,107.874,2020-01-23,3,"confirmed"
"Fujian","Mainland China",26.07783,117.9895,2020-01-23,4,"confirmed"
"Gansu","Mainland China",36.0611,103.8343,2020-01-23,2,"confirmed"
"Guangdong","Mainland China",23.33841,113.422,2020-01-23,6,"confirmed"
"Guangxi","Mainland China",23.82908,108.7881,2020-01-23,3,"confirmed"
"Guizhou","Mainland China",26.81536,106.8748,2020-01-23,2,"confirmed"
"Hainan","Mainland China",19.19673,109.7455,2020-01-23,1,"confirmed"
"Heilongjiang","Mainland China",47.862,127.7622,2020-01-23,2,"confirmed"
"Hong Kong","Hong Kong",22.3193,114.1694,2020-01-23,2,"confirmed"
"Hunan","Mainland China",27.61041,111.7088,2020-01-23,5,"confirmed"
"Jiangsu","Mainland China",32.97027,119.464,2020-01-23,4,"confirmed"
"Jiangxi","Mainland China",27.61401,115.7221,2020-01-23,5,"confirmed"
"Jilin","Mainland China",43.66657,126.1917,2020-01-23,1,"confirmed"
"Liaoning","Mainland China",41.29284,122.6086,2020-01-23,1,"confirmed"
"Macau","Macau",22.1987,113.5439,2020-01-23,1,"confirmed"
"Shaanxi","Mainland China",35.19165,108.8701,2020-01-23,3,"confirmed"
"Shandong","Mainland China",36.34377,118.1529,2020-01-23,4,"confirmed"
"Shanghai","Mainland China",31.20327,121.4554,2020-01-23,7,"confirmed"
"Sichuan","Mainland China",30.61714,102.7103,2020-01-23,3,"confirmed"
"Xinjiang","Mainland China",41.11981,85.17822,2020-01-23,2,"confirmed"
"Yunnan","Mainland China",24.97411,101.4868,2020-01-23,1,"confirmed"
"Zhejiang","Mainland China",29.18251,120.0985,2020-01-23,17,"confirmed"
"Hebei","Mainland China",38.0428,114.5149,2020-01-23,1,"death"
"Guangdong","Mainland China",23.33841,113.422,2020-01-23,2,"recovered"
"","France",46.2276,2.2137,2020-01-24,2,"confirmed"
"","Japan",35.6762,139.6503,2020-01-24,1,"confirmed"
"","Singapore",1.3521,103.8198,2020-01-24,2,"confirmed"
"","South Korea",37.5665,126.978,2020-01-24,1,"confirmed"
"","Thailand",13.7563,100.5018,2020-01-24,2,"confirmed"
"Anhui","Mainland China",31.82571,117.2264,2020-01-24,6,"confirmed"
"Beijing","Mainland China",40.18238,116.4142,2020-01-24,14,"confirmed"
"Chicago, IL","US",40.6331,-89.3985,2020-01-24,1,"confirmed"
"Chongqing","Mainland China",30.05718,107.874,2020-01-24,18,"confirmed"
"Fujian","Mainland China",26.07783,117.9895,2020-01-24,5,"confirmed"
"Guangdong","Mainland China",23.33841,113.422,2020-01-24,21,"confirmed"
"Guangxi","Mainland China",23.82908,108.7881,2020-01-24,18,"confirmed"
"Hainan","Mainland China",19.19673,109.7455,2020-01-24,3,"confirmed"
"Hebei","Mainland China",38.0428,114.5149,2020-01-24,1,"confirmed"
"Heilongjiang","Mainland China",47.862,127.7622,2020-01-24,2,"confirmed"
"Henan","Mainland China",33.88202,113.614,2020-01-24,4,"confirmed"
"Hubei","Mainland China",30.97564,112.2707,2020-01-24,105,"confirmed"
"Hunan","Mainland China",27.61041,111.7088,2020-01-24,15,"confirmed"
"Inner Mongolia","Mainland China",44.09448,113.9456,2020-01-24,1,"confirmed"
"Jiangsu","Mainland China",32.97027,119.464,2020-01-24,4,"confirmed"
"Jiangxi","Mainland China",27.61401,115.7221,2020-01-24,11,"confirmed"
"Jilin","Mainland China",43.66657,126.1917,2020-01-24,2,"confirmed"
"Liaoning","Mainland China",41.29284,122.6086,2020-01-24,1,"confirmed"
"Ningxia","Mainland China",37.26923,106.1655,2020-01-24,1,"confirmed"
