Country/Region,Date,Confirmed,Deaths,Lat,Long
Guinea,2014-08-29,482.0,287.0,9.9456,-9.6966
Nigeria,2014-08-29,15.0,6.0,9.082,8.6753
Sierra Leone,2014-08-29,935.0,380.0,8.460555000000001,-11.779889
Liberia,2014-08-29,322.0,225.0,6.4281,-9.4295
Sierra Leone,2014-09-05,1146.0,443.0,8.460555000000001,-11.779889
Nigeria,2014-09-05,18.0,7.0,9.082,8.6753
Liberia,2014-09-05,614.0,431.0,6.4281,-9.4295
Guinea,2014-09-05,604.0,362.0,9.9456,-9.6966
Senegal,2014-09-05,1.0,0.0,14.4974,-14.4524
Senegal,2014-09-08,1.0,0.0,14.4974,-14.4524
Guinea,2014-09-08,664.0,400.0,9.9456,-9.6966
Sierra Leone,2014-09-08,1234.0,461.0,8.460555000000001,-11.779889
Liberia,2014-09-08,634.0,508.0,6.4281,-9.4295
Nigeria,2014-09-08,19.0,7.0,9.082,8.6753
Guinea,2014-09-12,678.0,403.0,9.9456,-9.6966
Sierra Leone,2014-09-12,1287.0,478.0,8.460555000000001,-11.779889
Nigeria,2014-09-12,19.0,7.0,9.082,8.6753
Liberia,2014-09-12,654.0,498.0,6.4281,-9.4295
Senegal,2014-09-12,1.0,0.0,14.4974,-14.4524
Senegal,2014-09-16,1.0,0.0,14.4974,-14.4524
Sierra Leone,2014-09-16,1464.0,514.0,8.460555000000001,-11.779889
Guinea,2014-09-16,743.0,429.0,9.9456,-9.6966
Nigeria,2014-09-16,19.0,7.0,9.082,8.6753
Liberia,2014-09-16,790.0,563.0,6.4281,-9.4295
Nigeria,2014-09-18,19.0,7.0,9.082,8.6753
Guinea,2014-09-18,750.0,435.0,9.9456,-9.6966
Sierra Leone,2014-09-18,1513.0,517.0,8.460555000000001,-11.779889
Liberia,2014-09-18,812.0,631.0,6.4281,-9.4295
Senegal,2014-09-18,1.0,0.0,14.4974,-14.4524
Nigeria,2014-09-22,19.0,7.0,9.082,8.6753
Sierra Leone,2014-09-22,1640.0,545.0,8.460555000000001,-11.779889
