Date,Country/Region,Confirmed,Deaths,Recovered,Lat,Long
2003-03-17,Germany,1,0,0,51.0,9.0
2003-03-17,Canada,8,2,0,64.2823,-135.0
2003-03-17,Singapore,20,0,0,1.2833,103.8333
2003-03-17,Hong Kong,95,1,0,,
2003-03-17,Switzerland,2,0,0,46.8182,8.2275
2003-03-17,Thailand,1,0,0,15.0,101.0
2003-03-17,Vietnam,40,1,0,16.0,108.0
2003-03-18,Germany,2,0,0,51.0,9.0
2003-03-18,Canada,8,2,0,64.2823,-135.0
2003-03-18,China,0,0,0,29.1832,120.0934
2003-03-18,Singapore,23,0,0,1.2833,103.8333
2003-03-18,Hong Kong,123,1,0,,
2003-03-18,Taiwan*,3,0,0,23.7,121.0
2003-03-18,Thailand,1,0,0,15.0,101.0
2003-03-18,Vietnam,57,1,0,16.0,108.0
2003-03-18,Slovenia,1,0,0,46.1512,14.9955
2003-03-18,United Kingdom,1,0,0,21.69400000000001,-71.7979
2003-03-19,Canada,8,2,0,64.2823,-135.0
2003-03-19,China,0,0,0,29.1832,120.0934
2003-03-19,Germany,1,0,0,51.0,9.0
2003-03-19,Hong Kong,150,5,0,,
2003-03-19,Singapore,31,0,0,1.2833,103.8333
2003-03-19,Slovenia,1,0,0,46.1512,14.9955
2003-03-19,Spain,1,0,0,40.0,-4.0
2003-03-19,Taiwan*,3,0,0,23.7,121.0
2003-03-19,Thailand,1,0,0,15.0,101.0
2003-03-19,United Kingdom,1,0,0,21.69400000000001,-71.7979
2003-03-19,US,11,0,0,37.0902,-95.7129
2003-03-19,Vietnam,56,2,0,16.0,108.0
2003-03-20,Canada,9,2,0,64.2823,-135.0
2003-03-20,China,0,0,0,29.1832,120.0934
2003-03-20,Germany,1,0,0,51.0,9.0
2003-03-20,Hong Kong,173,6,0,,
2003-03-20,Singapore,34,0,0,1.2833,103.8333
2003-03-20,Slovenia,1,0,0,46.1512,14.9955
2003-03-20,Spain,1,0,0,40.0,-4.0
2003-03-20,Switzerland,7,0,0,46.8182,8.2275
2003-03-20,Taiwan*,4,0,0,23.7,121.0
2003-03-20,Thailand,1,0,0,15.0,101.0
2003-03-20,United Kingdom,2,0,0,21.69400000000001,-71.7979
2003-03-20,US,11,0,0,37.0902,-95.7129
2003-03-20,Vietnam,62,2,0,16.0,108.0
2003-03-21,Canada,9,2,0,64.2823,-135.0
2003-03-21,China,0,0,0,29.1832,120.0934
2003-03-21,Germany,1,0,0,51.0,9.0
2003-03-21,Hong Kong,203,6,0,,
2003-03-21,Italy,1,0,0,43.0,12.0
2003-03-21,Ireland,1,0,0,53.1424,-7.6921
2003-03-21,Singapore,39,0,0,1.2833,103.8333
2003-03-21,Slovenia,1,0,0,46.1512,14.9955
2003-03-21,Spain,1,0,0,40.0,-4.0
2003-03-21,Switzerland,7,0,0,46.8182,8.2275
2003-03-21,Taiwan*,6,0,0,23.7,121.0
2003-03-21,Thailand,4,0,0,15.0,101.0
2003-03-21,United Kingdom,2,0,0,21.69400000000001,-71.7979
2003-03-21,US,13,0,0,37.0902,-95.7129
2003-03-21,Vietnam,62,2,0,16.0,108.0
2003-03-22,Canada,9,2,0,64.2823,-135.0
2003-03-22,China,0,0,0,29.1832,120.0934
2003-03-22,Germany,2,0,0,51.0,9.0
2003-03-22,Hong Kong,222,7,0,,
2003-03-22,Italy,2,0,0,43.0,12.0
2003-03-22,Ireland,1,0,0,53.1424,-7.6921
2003-03-22,Singapore,44,0,0,1.2833,103.8333
2003-03-22,Slovenia,1,0,0,46.1512,14.9955
2003-03-22,Spain,1,0,0,40.0,-4.0
