CMDLINE /usr/bin/python3.9 scripts.py
MEM 0.003906 1623020320.6438
MEM 8.007812 1623020320.7451
MEM 8.941406 1623020320.8464
MEM 12.101562 1623020320.9486
MEM 14.402344 1623020321.0492
MEM 16.742188 1623020321.1499
MEM 18.398438 1623020321.2505
MEM 20.058594 1623020321.3511
MEM 22.250000 1623020321.4518
MEM 24.031250 1623020321.5525
MEM 25.921875 1623020321.6531
MEM 27.210938 1623020321.7546
MEM 28.242188 1623020321.8552
MEM 30.050781 1623020321.9559
MEM 31.964844 1623020322.0565
MEM 33.613281 1623020322.1572
MEM 35.933594 1623020322.2579
MEM 36.964844 1623020322.3585
MEM 37.542969 1623020322.4593
MEM 37.800781 1623020322.5599
MEM 39.347656 1623020322.6606
MEM 41.488281 1623020322.7612
MEM 41.875000 1623020322.8618
MEM 43.828125 1623020322.9625
MEM 45.242188 1623020323.0631
MEM 48.699219 1623020323.1638
MEM 49.226562 1623020323.2645
MEM 49.226562 1623020323.3663
MEM 52.515625 1623020323.4670
MEM 108.515625 1623020323.5684
MEM 148.515625 1623020323.6706
MEM 186.582031 1623020323.7718
MEM 236.582031 1623020323.8737
MEM 286.582031 1623020323.9748
MEM 338.582031 1623020324.0760
MEM 390.582031 1623020324.1769
MEM 444.582031 1623020324.2782
MEM 500.582031 1623020324.3813
MEM 556.582031 1623020324.4824
MEM 596.582031 1623020324.5845
MEM 642.582031 1623020324.6853
MEM 680.582031 1623020324.7865
MEM 738.582031 1623020324.8872
MEM 788.582031 1623020324.9880
MEM 804.582031 1623020325.0889
MEM 66.582031 1623020325.1907
MEM 108.582031 1623020325.2918
MEM 154.582031 1623020325.3951
MEM 206.582031 1623020325.4959
MEM 260.582031 1623020325.5977
MEM 318.582031 1623020325.6991
MEM 372.582031 1623020325.8000
MEM 430.582031 1623020325.9008
MEM 484.582031 1623020326.0016
MEM 532.582031 1623020326.1030
MEM 590.582031 1623020326.2158
MEM 646.582031 1623020326.3176
MEM 692.582031 1623020326.4183
MEM 746.582031 1623020326.5213
MEM 802.582031 1623020326.6271
MEM 819.992188 1623020326.7279
MEM 819.992188 1623020326.8287
MEM 819.992188 1623020326.9313
MEM 819.992188 1623020327.0320
MEM 819.992188 1623020327.1328
MEM 819.992188 1623020327.2335
MEM 819.992188 1623020327.3343
MEM 819.992188 1623020327.4433
MEM 819.992188 1623020327.5440
MEM 49.875000 1623020327.6451
MEM 49.875000 1623020327.7482
MEM 49.875000 1623020327.8490
MEM 49.875000 1623020327.9497
